word,total_count,system,system_count,system_sloc,normalized_system_count,languages,contexts,categories
last,4044,naemon-core,50,38923,0.0012845875189476659,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",determiner
last,4044,ovs,244,289815,0.0008419163949416006,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",determiner
last,4044,panda3d,173,589605,0.0002934167790300286,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",determiner
last,4044,proxygen,39,22714,0.0017170027295940829,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",determiner
last,4044,rigraph,150,309989,0.0004838881379661859,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",determiner
last,4044,s3fs-fuse,21,21103,0.0009951191773681467,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",determiner
last,4044,toggldesktop,428,370691,0.0011546004623797178,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",determiner
last,4044,toxcore,22,24086,0.000913393672672922,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",determiner
last,4044,weechat,114,210295,0.0005420956275707934,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",determiner
last,4044,wireshark,719,4346078,0.00016543651540538388,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",determiner
and,2417,Openfire,23,109551,0.00020994787815720533,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,Singularity,107,100316,0.0010666294509350453,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,Smack,119,89739,0.0013260678188970235,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,Spark,37,91707,0.0004034588417459954,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,caffe,4,21754,0.00018387423002666178,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,ccv,55,274433,0.0002004132156118251,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,cglib,2,10058,0.00019884668920262477,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,cling,14,29129,0.0004806206872875828,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,deeplearning4j,410,554761,0.000739056999320428,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,drill,189,420706,0.0004492448408152011,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,facebook-repo-ds2,3,9339,0.00032123353678124,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,freeminer,51,516,0.09883720930232558,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,git2r,17,114486,0.0001484897716751393,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,guava,161,145688,0.0011051013123936082,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,immutables,27,47133,0.0005728470498376934,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,meta,4,17650,0.00022662889518413598,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,metrics,5,15234,0.0003282132072994617,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,mgba,55,335182,0.00016408995709793486,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,naemon-core,13,38923,0.0003339927549263931,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,ovs,78,289815,0.0002691372082190363,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,panda3d,62,589605,0.00010515514624197557,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,proxygen,18,22714,0.0007924627982741922,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,rigraph,27,309989,8.709986483391345e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,s3fs-fuse,1,21103,4.738662749372127e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,toggldesktop,144,370691,0.000388463706968877,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,toxcore,2,24086,8.30357884248111e-05,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,weechat,40,210295,0.00019020899213010296,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
and,2417,wireshark,749,4346078,0.000172339290735233,"C,C#,C++,Java","ATTRIBUTE,CLASS,DECLARATION,FUNCTION,PARAMETER",conjunction
